id_encuestado,pregunta_texto,respuesta,id_pregunta,seccion
148,Marca temporal,8/06/2025 21:29:59,1,Metadatos
149,Marca temporal,8/06/2025 21:44:16,1,Metadatos
150,Marca temporal,8/06/2025 22:24:11,1,Metadatos
151,Marca temporal,8/06/2025 23:48:13,1,Metadatos
152,Marca temporal,9/06/2025 9:03:57,1,Metadatos
153,Marca temporal,9/06/2025 9:24:29,1,Metadatos
154,Marca temporal,9/06/2025 9:43:57,1,Metadatos
155,Marca temporal,9/06/2025 10:41:00,1,Metadatos
156,Marca temporal,9/06/2025 12:21:56,1,Metadatos
157,Marca temporal,9/06/2025 12:23:13,1,Metadatos
158,Marca temporal,9/06/2025 12:32:31,1,Metadatos
159,Marca temporal,9/06/2025 12:38:16,1,Metadatos
160,Marca temporal,9/06/2025 13:02:17,1,Metadatos
161,Marca temporal,9/06/2025 13:47:41,1,Metadatos
162,Marca temporal,9/06/2025 14:12:33,1,Metadatos
163,Marca temporal,9/06/2025 14:20:06,1,Metadatos
164,Marca temporal,9/06/2025 14:47:02,1,Metadatos
165,Marca temporal,9/06/2025 14:50:27,1,Metadatos
166,Marca temporal,9/06/2025 15:43:16,1,Metadatos
167,Marca temporal,9/06/2025 17:34:00,1,Metadatos
168,Marca temporal,9/06/2025 18:03:45,1,Metadatos
169,Marca temporal,9/06/2025 18:29:40,1,Metadatos
170,Marca temporal,9/06/2025 19:18:03,1,Metadatos
171,Marca temporal,9/06/2025 19:42:10,1,Metadatos
172,Marca temporal,9/06/2025 20:42:50,1,Metadatos
173,Marca temporal,9/06/2025 21:05:16,1,Metadatos
174,Marca temporal,10/06/2025 10:59:26,1,Metadatos
175,Marca temporal,10/06/2025 11:29:52,1,Metadatos
176,Marca temporal,10/06/2025 11:29:58,1,Metadatos
177,Marca temporal,10/06/2025 11:30:30,1,Metadatos
178,Marca temporal,10/06/2025 11:35:21,1,Metadatos
179,Marca temporal,10/06/2025 11:35:56,1,Metadatos
180,Marca temporal,10/06/2025 11:36:41,1,Metadatos
181,Marca temporal,10/06/2025 11:37:17,1,Metadatos
182,Marca temporal,10/06/2025 11:37:54,1,Metadatos
183,Marca temporal,10/06/2025 11:44:58,1,Metadatos
184,Marca temporal,10/06/2025 11:45:34,1,Metadatos
185,Marca temporal,10/06/2025 11:46:43,1,Metadatos
186,Marca temporal,10/06/2025 11:47:05,1,Metadatos
187,Marca temporal,10/06/2025 11:50:11,1,Metadatos
188,Marca temporal,10/06/2025 11:51:33,1,Metadatos
189,Marca temporal,10/06/2025 11:52:52,1,Metadatos
190,Marca temporal,10/06/2025 11:53:44,1,Metadatos
191,Marca temporal,10/06/2025 12:01:07,1,Metadatos
192,Marca temporal,10/06/2025 12:01:28,1,Metadatos
193,Marca temporal,10/06/2025 12:12:03,1,Metadatos
194,Marca temporal,10/06/2025 12:25:11,1,Metadatos
195,Marca temporal,10/06/2025 12:35:27,1,Metadatos
196,Marca temporal,10/06/2025 12:37:16,1,Metadatos
197,Marca temporal,10/06/2025 12:46:42,1,Metadatos
198,Marca temporal,10/06/2025 12:49:46,1,Metadatos
199,Marca temporal,10/06/2025 12:55:05,1,Metadatos
200,Marca temporal,10/06/2025 12:56:20,1,Metadatos
201,Marca temporal,10/06/2025 13:17:01,1,Metadatos
202,Marca temporal,10/06/2025 13:52:50,1,Metadatos
203,Marca temporal,10/06/2025 13:58:57,1,Metadatos
204,Marca temporal,10/06/2025 14:01:27,1,Metadatos
205,Marca temporal,10/06/2025 14:46:12,1,Metadatos
206,Marca temporal,10/06/2025 17:14:35,1,Metadatos
207,Marca temporal,10/06/2025 17:19:52,1,Metadatos
208,Marca temporal,10/06/2025 17:23:18,1,Metadatos
209,Marca temporal,10/06/2025 17:24:23,1,Metadatos
210,Marca temporal,10/06/2025 17:28:18,1,Metadatos
211,Marca temporal,10/06/2025 17:47:17,1,Metadatos
212,Marca temporal,10/06/2025 21:50:24,1,Metadatos
213,Marca temporal,11/06/2025 7:18:09,1,Metadatos
214,Marca temporal,11/06/2025 10:20:45,1,Metadatos
215,Marca temporal,11/06/2025 11:13:53,1,Metadatos
1,Edad (en años),26,2,Sociodemográficos
2,Edad (en años),33,2,Sociodemográficos
3,Edad (en años),32,2,Sociodemográficos
4,Edad (en años),32,2,Sociodemográficos
5,Edad (en años),37,2,Sociodemográficos
6,Edad (en años),36,2,Sociodemográficos
7,Edad (en años),39,2,Sociodemográficos
8,Edad (en años),37,2,Sociodemográficos
9,Edad (en años),32,2,Sociodemográficos
10,Edad (en años),44,2,Sociodemográficos
11,Edad (en años),29,2,Sociodemográficos
12,Edad (en años),41,2,Sociodemográficos
13,Edad (en años),48,2,Sociodemográficos
14,Edad (en años),35,2,Sociodemográficos
15,Edad (en años),36,2,Sociodemográficos
16,Edad (en años),41,2,Sociodemográficos
17,Edad (en años),27,2,Sociodemográficos
18,Edad (en años),36,2,Sociodemográficos
19,Edad (en años),24,2,Sociodemográficos
20,Edad (en años),35,2,Sociodemográficos
21,Edad (en años),36,2,Sociodemográficos
22,Edad (en años),42,2,Sociodemográficos
23,Edad (en años),35,2,Sociodemográficos
24,Edad (en años),39,2,Sociodemográficos
25,Edad (en años),36,2,Sociodemográficos
26,Edad (en años),34,2,Sociodemográficos
27,Edad (en años),39,2,Sociodemográficos
28,Edad (en años),42,2,Sociodemográficos
29,Edad (en años),40,2,Sociodemográficos
30,Edad (en años),39,2,Sociodemográficos
31,Edad (en años),38,2,Sociodemográficos
32,Edad (en años),31,2,Sociodemográficos
33,Edad (en años),42,2,Sociodemográficos
34,Edad (en años),35,2,Sociodemográficos
35,Edad (en años),40,2,Sociodemográficos
36,Edad (en años),38,2,Sociodemográficos
37,Edad (en años),37,2,Sociodemográficos
38,Edad (en años),33,2,Sociodemográficos
39,Edad (en años),34,2,Sociodemográficos
40,Edad (en años),28,2,Sociodemográficos
41,Edad (en años),32,2,Sociodemográficos
42,Edad (en años),39,2,Sociodemográficos
43,Edad (en años),27,2,Sociodemográficos
44,Edad (en años),28,2,Sociodemográficos
45,Edad (en años),64,2,Sociodemográficos
46,Edad (en años),35,2,Sociodemográficos
47,Edad (en años),47,2,Sociodemográficos
48,Edad (en años),41,2,Sociodemográficos
49,Edad (en años),32,2,Sociodemográficos
50,Edad (en años),38,2,Sociodemográficos
51,Edad (en años),32,2,Sociodemográficos
52,Edad (en años),33,2,Sociodemográficos
53,Edad (en años),34,2,Sociodemográficos
54,Edad (en años),38,2,Sociodemográficos
55,Edad (en años),33,2,Sociodemográficos
56,Edad (en años),41,2,Sociodemográficos
57,Edad (en años),28,2,Sociodemográficos
58,Edad (en años),48,2,Sociodemográficos
59,Edad (en años),33,2,Sociodemográficos
60,Edad (en años),33,2,Sociodemográficos
61,Edad (en años),39,2,Sociodemográficos
62,Edad (en años),30,2,Sociodemográficos
63,Edad (en años),36,2,Sociodemográficos
64,Edad (en años),39,2,Sociodemográficos
65,Edad (en años),44,2,Sociodemográficos
66,Edad (en años),28,2,Sociodemográficos
67,Edad (en años),38,2,Sociodemográficos
68,Edad (en años),44,2,Sociodemográficos
69,Edad (en años),30,2,Sociodemográficos
70,Edad (en años),29,2,Sociodemográficos
71,Edad (en años),30,2,Sociodemográficos
72,Edad (en años),35,2,Sociodemográficos
73,Edad (en años),42,2,Sociodemográficos
74,Edad (en años),31,2,Sociodemográficos
75,Edad (en años),38,2,Sociodemográficos
76,Edad (en años),64,2,Sociodemográficos
77,Edad (en años),32,2,Sociodemográficos
78,Edad (en años),38,2,Sociodemográficos
79,Edad (en años),35,2,Sociodemográficos
80,Edad (en años),31,2,Sociodemográficos
81,Edad (en años),37,2,Sociodemográficos
82,Edad (en años),47,2,Sociodemográficos
83,Edad (en años),31,2,Sociodemográficos
84,Edad (en años),30,2,Sociodemográficos
85,Edad (en años),38,2,Sociodemográficos
86,Edad (en años),36,2,Sociodemográficos
87,Edad (en años),26,2,Sociodemográficos
88,Edad (en años),28,2,Sociodemográficos
89,Edad (en años),43,2,Sociodemográficos
90,Edad (en años),42,2,Sociodemográficos
91,Edad (en años),32,2,Sociodemográficos
92,Edad (en años),63,2,Sociodemográficos
93,Edad (en años),38,2,Sociodemográficos
94,Edad (en años),41,2,Sociodemográficos
95,Edad (en años),35,2,Sociodemográficos
96,Edad (en años),36,2,Sociodemográficos
97,Edad (en años),63,2,Sociodemográficos
98,Edad (en años),51,2,Sociodemográficos
99,Edad (en años),28,2,Sociodemográficos
100,Edad (en años),28,2,Sociodemográficos
101,Edad (en años),48,2,Sociodemográficos
102,Edad (en años),26,2,Sociodemográficos
103,Edad (en años),27,2,Sociodemográficos
104,Edad (en años),25,2,Sociodemográficos
105,Edad (en años),34,2,Sociodemográficos
106,Edad (en años),28,2,Sociodemográficos
107,Edad (en años),36,2,Sociodemográficos
108,Edad (en años),33,2,Sociodemográficos
109,Edad (en años),34,2,Sociodemográficos
110,Edad (en años),30,2,Sociodemográficos
111,Edad (en años),27,2,Sociodemográficos
112,Edad (en años),39,2,Sociodemográficos
113,Edad (en años),35,2,Sociodemográficos
114,Edad (en años),40,2,Sociodemográficos
115,Edad (en años),39,2,Sociodemográficos
116,Edad (en años),31,2,Sociodemográficos
117,Edad (en años),25,2,Sociodemográficos
118,Edad (en años),33,2,Sociodemográficos
119,Edad (en años),36,2,Sociodemográficos
120,Edad (en años),44,2,Sociodemográficos
121,Edad (en años),33,2,Sociodemográficos
122,Edad (en años),41,2,Sociodemográficos
123,Edad (en años),33,2,Sociodemográficos
124,Edad (en años),55,2,Sociodemográficos
125,Edad (en años),33,2,Sociodemográficos
126,Edad (en años),45,2,Sociodemográficos
127,Edad (en años),33,2,Sociodemográficos
128,Edad (en años),46,2,Sociodemográficos
129,Edad (en años),36,2,Sociodemográficos
130,Edad (en años),38,2,Sociodemográficos
131,Edad (en años),37,2,Sociodemográficos
132,Edad (en años),39,2,Sociodemográficos
133,Edad (en años),29,2,Sociodemográficos
134,Edad (en años),36,2,Sociodemográficos
135,Edad (en años),38,2,Sociodemográficos
136,Edad (en años),35,2,Sociodemográficos
137,Edad (en años),38,2,Sociodemográficos
138,Edad (en años),49,2,Sociodemográficos
139,Edad (en años),45,2,Sociodemográficos
140,Edad (en años),30,2,Sociodemográficos
141,Edad (en años),32,2,Sociodemográficos
142,Edad (en años),37,2,Sociodemográficos
143,Edad (en años),46,2,Sociodemográficos
144,Edad (en años),57,2,Sociodemográficos
145,Edad (en años),28,2,Sociodemográficos
146,Edad (en años),25,2,Sociodemográficos
147,Edad (en años),28,2,Sociodemográficos
148,Edad (en años),41,2,Sociodemográficos
149,Edad (en años),18,2,Sociodemográficos
150,Edad (en años),47,2,Sociodemográficos
151,Edad (en años),39,2,Sociodemográficos
152,Edad (en años),31,2,Sociodemográficos
153,Edad (en años),45,2,Sociodemográficos
154,Edad (en años),40,2,Sociodemográficos
155,Edad (en años),42,2,Sociodemográficos
156,Edad (en años),31,2,Sociodemográficos
157,Edad (en años),27,2,Sociodemográficos
158,Edad (en años),31,2,Sociodemográficos
159,Edad (en años),41,2,Sociodemográficos
160,Edad (en años),31,2,Sociodemográficos
161,Edad (en años),25,2,Sociodemográficos
162,Edad (en años),36,2,Sociodemográficos
163,Edad (en años),22,2,Sociodemográficos
164,Edad (en años),32,2,Sociodemográficos
165,Edad (en años),32,2,Sociodemográficos
166,Edad (en años),29,2,Sociodemográficos
167,Edad (en años),31,2,Sociodemográficos
168,Edad (en años),33,2,Sociodemográficos
169,Edad (en años),34,2,Sociodemográficos
170,Edad (en años),30,2,Sociodemográficos
171,Edad (en años),36,2,Sociodemográficos
172,Edad (en años),40,2,Sociodemográficos
173,Edad (en años),55,2,Sociodemográficos
174,Edad (en años),37,2,Sociodemográficos
175,Edad (en años),24,2,Sociodemográficos
176,Edad (en años),23,2,Sociodemográficos
177,Edad (en años),37,2,Sociodemográficos
178,Edad (en años),38,2,Sociodemográficos
179,Edad (en años),39,2,Sociodemográficos
180,Edad (en años),38,2,Sociodemográficos
181,Edad (en años),30,2,Sociodemográficos
182,Edad (en años),37,2,Sociodemográficos
183,Edad (en años),51,2,Sociodemográficos
184,Edad (en años),36,2,Sociodemográficos
185,Edad (en años),33,2,Sociodemográficos
186,Edad (en años),49,2,Sociodemográficos
187,Edad (en años),33,2,Sociodemográficos
188,Edad (en años),40,2,Sociodemográficos
189,Edad (en años),30,2,Sociodemográficos
190,Edad (en años),25,2,Sociodemográficos
191,Edad (en años),34,2,Sociodemográficos
192,Edad (en años),37,2,Sociodemográficos
193,Edad (en años),39,2,Sociodemográficos
194,Edad (en años),55,2,Sociodemográficos
195,Edad (en años),29,2,Sociodemográficos
196,Edad (en años),38,2,Sociodemográficos
197,Edad (en años),43,2,Sociodemográficos
198,Edad (en años),36,2,Sociodemográficos
199,Edad (en años),28,2,Sociodemográficos
200,Edad (en años),35,2,Sociodemográficos
201,Edad (en años),28,2,Sociodemográficos
202,Edad (en años),49,2,Sociodemográficos
203,Edad (en años),37,2,Sociodemográficos
204,Edad (en años),36,2,Sociodemográficos
205,Edad (en años),39,2,Sociodemográficos
206,Edad (en años),53,2,Sociodemográficos
207,Edad (en años),38,2,Sociodemográficos
208,Edad (en años),36,2,Sociodemográficos
209,Edad (en años),49,2,Sociodemográficos
210,Edad (en años),42,2,Sociodemográficos
211,Edad (en años),51,2,Sociodemográficos
212,Edad (en años),37,2,Sociodemográficos
213,Edad (en años),42,2,Sociodemográficos
214,Edad (en años),54,2,Sociodemográficos
215,Edad (en años),27,2,Sociodemográficos
1,Género,Femenino,3,Sociodemográficos
2,Género,Masculino,3,Sociodemográficos
3,Género,Masculino,3,Sociodemográficos
4,Género,Femenino,3,Sociodemográficos
5,Género,Masculino,3,Sociodemográficos
6,Género,Femenino,3,Sociodemográficos
7,Género,Masculino,3,Sociodemográficos
8,Género,Masculino,3,Sociodemográficos
9,Género,Masculino,3,Sociodemográficos
10,Género,Prefiero no contestar,3,Sociodemográficos
11,Género,Masculino,3,Sociodemográficos
12,Género,Masculino,3,Sociodemográficos
13,Género,Masculino,3,Sociodemográficos
14,Género,Femenino,3,Sociodemográficos
15,Género,Masculino,3,Sociodemográficos
16,Género,Masculino,3,Sociodemográficos
17,Género,Femenino,3,Sociodemográficos
18,Género,Femenino,3,Sociodemográficos
19,Género,Femenino,3,Sociodemográficos
20,Género,Masculino,3,Sociodemográficos
21,Género,Femenino,3,Sociodemográficos
22,Género,Masculino,3,Sociodemográficos
23,Género,Masculino,3,Sociodemográficos
24,Género,Femenino,3,Sociodemográficos
25,Género,Masculino,3,Sociodemográficos
26,Género,No binario,3,Sociodemográficos
27,Género,Femenino,3,Sociodemográficos
28,Género,Masculino,3,Sociodemográficos
29,Género,Femenino,3,Sociodemográficos
30,Género,Masculino,3,Sociodemográficos
31,Género,Masculino,3,Sociodemográficos
32,Género,Femenino,3,Sociodemográficos
33,Género,Masculino,3,Sociodemográficos
34,Género,Masculino,3,Sociodemográficos
35,Género,Masculino,3,Sociodemográficos
36,Género,Masculino,3,Sociodemográficos
37,Género,Masculino,3,Sociodemográficos
38,Género,Masculino,3,Sociodemográficos
39,Género,Femenino,3,Sociodemográficos
40,Género,Femenino,3,Sociodemográficos
41,Género,Femenino,3,Sociodemográficos
42,Género,Masculino,3,Sociodemográficos
43,Género,Femenino,3,Sociodemográficos
44,Género,Femenino,3,Sociodemográficos
45,Género,Femenino,3,Sociodemográficos
46,Género,Masculino,3,Sociodemográficos
47,Género,Masculino,3,Sociodemográficos
48,Género,Masculino,3,Sociodemográficos
49,Género,Masculino,3,Sociodemográficos
50,Género,Femenino,3,Sociodemográficos
51,Género,Femenino,3,Sociodemográficos
52,Género,No binario,3,Sociodemográficos
53,Género,Femenino,3,Sociodemográficos
54,Género,Masculino,3,Sociodemográficos
55,Género,Femenino,3,Sociodemográficos
56,Género,Masculino,3,Sociodemográficos
57,Género,Femenino,3,Sociodemográficos
58,Género,Masculino,3,Sociodemográficos
59,Género,Masculino,3,Sociodemográficos
60,Género,Femenino,3,Sociodemográficos
61,Género,Masculino,3,Sociodemográficos
62,Género,Femenino,3,Sociodemográficos
63,Género,Femenino,3,Sociodemográficos
64,Género,Masculino,3,Sociodemográficos
65,Género,Femenino,3,Sociodemográficos
66,Género,Masculino,3,Sociodemográficos
67,Género,Femenino,3,Sociodemográficos
68,Género,Femenino,3,Sociodemográficos
69,Género,Femenino,3,Sociodemográficos
70,Género,Masculino,3,Sociodemográficos
71,Género,Masculino,3,Sociodemográficos
72,Género,Masculino,3,Sociodemográficos
73,Género,Masculino,3,Sociodemográficos
74,Género,Masculino,3,Sociodemográficos
75,Género,Masculino,3,Sociodemográficos
76,Género,Femenino,3,Sociodemográficos
77,Género,Femenino,3,Sociodemográficos
78,Género,Masculino,3,Sociodemográficos
79,Género,Femenino,3,Sociodemográficos
80,Género,Masculino,3,Sociodemográficos
81,Género,Masculino,3,Sociodemográficos
82,Género,Masculino,3,Sociodemográficos
83,Género,Masculino,3,Sociodemográficos
84,Género,Masculino,3,Sociodemográficos
85,Género,Femenino,3,Sociodemográficos
86,Género,Masculino,3,Sociodemográficos
87,Género,Prefiero no contestar,3,Sociodemográficos
88,Género,Femenino,3,Sociodemográficos
89,Género,Femenino,3,Sociodemográficos
90,Género,Masculino,3,Sociodemográficos
91,Género,Masculino,3,Sociodemográficos
92,Género,Masculino,3,Sociodemográficos
93,Género,Masculino,3,Sociodemográficos
94,Género,Femenino,3,Sociodemográficos
95,Género,Femenino,3,Sociodemográficos
96,Género,Masculino,3,Sociodemográficos
97,Género,Masculino,3,Sociodemográficos
98,Género,Masculino,3,Sociodemográficos
99,Género,Masculino,3,Sociodemográficos
100,Género,Masculino,3,Sociodemográficos
101,Género,Masculino,3,Sociodemográficos
102,Género,Femenino,3,Sociodemográficos
103,Género,Femenino,3,Sociodemográficos
104,Género,Masculino,3,Sociodemográficos
105,Género,Femenino,3,Sociodemográficos
106,Género,Femenino,3,Sociodemográficos
107,Género,Femenino,3,Sociodemográficos
108,Género,Masculino,3,Sociodemográficos
109,Género,Femenino,3,Sociodemográficos
110,Género,Masculino,3,Sociodemográficos
111,Género,Masculino,3,Sociodemográficos
112,Género,Femenino,3,Sociodemográficos
113,Género,Femenino,3,Sociodemográficos
114,Género,Femenino,3,Sociodemográficos
115,Género,Femenino,3,Sociodemográficos
116,Género,Masculino,3,Sociodemográficos
117,Género,Masculino,3,Sociodemográficos
118,Género,Masculino,3,Sociodemográficos
119,Género,Femenino,3,Sociodemográficos
120,Género,Femenino,3,Sociodemográficos
121,Género,No binario,3,Sociodemográficos
122,Género,Femenino,3,Sociodemográficos
123,Género,Femenino,3,Sociodemográficos
124,Género,Masculino,3,Sociodemográficos
125,Género,Femenino,3,Sociodemográficos
126,Género,Masculino,3,Sociodemográficos
127,Género,Femenino,3,Sociodemográficos
128,Género,Femenino,3,Sociodemográficos
129,Género,Femenino,3,Sociodemográficos
130,Género,Masculino,3,Sociodemográficos
131,Género,Masculino,3,Sociodemográficos
